Id,Número De Víctimas,Fecha,Año,Mes,Día,Hora,Cantidad Hora,Lugar Del Hecho,Tipo De Calle,Calle,Cruce,Dirección Normalizada,Comuna,Coordenadas XY (CABA),Pos X,Pos Y,Participantes,Víctima,Acusado,Rol,Sexo,Edad,Barrios,Código Día,Día Semana,Franja Horaria
2016-0172,1,2016-12-26,2016,12,26,2024-01-16 08:00:00,8,Av Garay Y Castro,Avenida,"Garay, Juan De Av.",Si,"Garay, Juan De Av. Y Castro",5,Point (104044.75501725 99724.84699960),-58.41918902,-34.63174259,Moto-Cargas,Moto,Cargas,Conductor,Masculino,38,Almagro y Boedo.,0,Lunes,Mañana
2016-0173,1,2016-12-26,2016,12,26,2024-01-16 19:52:00,19,Av Directorio Y Av San Pedrito,Avenida,Directorio Av.,Si,Directorio Av. Y San Pedrito Av.,7,Point (99615.63172945 99306.93173343),-58.46749188,-34.63551751,Moto-Cargas,Moto,Cargas,Conductor,Masculino,35,Flores y Parque Chacabuco.,0,Lunes,Noche
2016-0174,1,2016-12-27,2016,12,27,2024-01-16 00:00:00,0,Autopista 25 De Mayo,Autopista,Autopista 25 De Mayo,No,Autopista 25 De Mayo,0,Point (0 0),0.0,0.0,Sd-Sd,Sd,Sd,Conductor,Masculino,40,,1,Martes,Madrugada
2016-0175,1,2016-12-27,2016,12,27,2024-01-16 08:15:00,8,Cnel Ramon L Falcon Y Membrillar,Calle,"Falcon, Ramon L.,Cnel.",Si,"Falcon, Ramon L.,Cnel. Y Membrillar",7,Point (100243.74197213 99962.81893983),-58.46064174,-34.62960517,Peaton-Bicicleta,Peaton,Bicicleta,Peaton,Femenino,51,Flores y Parque Chacabuco.,1,Martes,Mañana
2016-0176,1,2016-12-28,2016,12,28,2024-01-16 01:41:00,1,Av Belgrano Y Av Paseo Colon,Avenida,Belgrano Av.,Si,Belgrano Av. Y Paseo Colon Av.,1,Point (108597.31948169 101875.41306445),-58.36956186,-34.61232875,Moto-Pasajeros,Moto,Pasajeros,Conductor,Masculino,28,"Retiro, San Nicolás, Puerto Madero, San Telmo, Montserrat y Constitución.",2,Miércoles,Madrugada
2016-0177,1,2016-12-29,2016,12,29,2024-01-16 04:00:00,4,Arenales 3319,Calle,Arenales,No,Arenales 3319,14,Point (104920.46334566 104589.99681258),-58.40966671,-34.58788235,Peaton-Auto,Peaton,Auto,Peaton,Femenino,27,Palermo.,3,Jueves,Madrugada
2016-0178,1,2016-12-30,2016,12,30,2024-01-16 16:18:00,16,Republica Bolivariana De Venezuela Y Saavedra,Calle,Republica Bolivariana De Venezuela,Si,Republica Bolivariana De Venezuela Y Saavedra,3,Point (105541.07964363 101532.48653010),-58.40288226,-34.61544091,Multiple,Peaton,Multiple,Peaton,Femenino,7,Balvanera y San Cristóbal.,4,Viernes,Tarde
2017-0001,1,2017-01-02,2017,1,2,2024-01-16 01:00:00,1,Av. Juan B Justo Y Achupallas,Avenida,"Justo, Juan B. Av.",Si,"Justo, Juan B. Av. Y Achupallas",11,Point (99757.62471161 102105.99371863),-58.4659423,-34.61028571,Moto-Cargas,Moto,Cargas,Conductor,Masculino,18,"Villa General Mitre, Villa Devoto, Villa del Parque y Villa Santa Rita.",0,Lunes,Madrugada
2017-0003,1,2017-01-05,2017,1,5,2024-01-16 03:10:00,3,Olavarria Y Av. Velez Sarsfield,Avenida,Olavarria,Si,Olavarria Y Velez Sarsfield Av.,4,Point (106759.07058844 98352.11326541),-58.38957669,-34.64410277,Cargas-Cargas,Cargas,Cargas,Pasajero_Acompañante,Masculino,33,"La Boca, Barracas, Parque Patricios y Nueva Pompeya.",3,Jueves,Madrugada
2017-0007,1,2017-01-11,2017,1,11,2024-01-16 17:00:00,17,Lima Y Mexico,Calle,Lima,Si,Lima Y Mexico,1,Point (107491.43483173 101547.26343171),-58.3816166,-34.61529543,Multiple,Peaton,Multiple,Peaton,Masculino,48,"Retiro, San Nicolás, Puerto Madero, San Telmo, Montserrat y Constitución.",2,Miércoles,Tarde
2017-0008,1,2017-01-16,2017,1,16,2024-01-16 00:40:00,0,Jose A Cabrera Y Bonpland,Calle,"Cabrera, Jose A.",Si,"Cabrera, Jose A. Y Bonpland",14,Point (102213.80136590 104917.03799721),-58.43917004,-34.58494351,Moto-Pasajeros,Moto,Pasajeros,Conductor,Masculino,29,Palermo.,0,Lunes,Madrugada
2017-0009,1,2017-01-16,2017,1,16,2024-01-16 13:56:00,13,Au 25 De Mayo Y Av. Boedo,Autopista,Autopista 25 De Mayo,No,Autopista 25 De Mayo Y Boedo Av.,5,Point (104341.1368196 100202.74363294),-58.41595919,-34.62743346,Moto-Cargas,Moto,Cargas,Conductor,Masculino,36,Almagro y Boedo.,0,Lunes,Tarde
2017-0010,1,2017-01-16,2017,1,16,2024-01-16 16:30:00,16,Av. Directorio Y Riglos,Avenida,Directorio Av.,Si,Directorio Av. Y Riglos,6,Point (102535.57417570 100108.76675064),-58.4356488,-34.62828656,Moto-Auto,Moto,Auto,Conductor,Masculino,23,Caballito.,0,Lunes,Tarde
2017-0011,1,2017-01-22,2017,1,22,2024-01-16 02:30:00,2,Av. Gral. Paz Y Av. R. Balbin,Gral Paz,"Paz, Gral. Av.",Si,"Paz, Gral. Av. Y Balbin, Ricardo, Dr. Av.",12,Point (96563.66494817 108815.73881056),-58.5007381,-34.5497951,Moto-Objeto Fijo,Moto,Objeto Fijo,Pasajero_Acompañante,Femenino,29,"Coghlan, Saavedra, Villa Urquiza y Villa Pueyrredón.",6,Domingo,Madrugada
2017-0012,1,2017-01-24,2017,1,24,2024-01-16 14:00:00,14,Traful Y Diogenes Taborda,Calle,Traful,Si,"Traful Y Taborda, Diogenes",4,Point (104914.66823035 97637.72796868),-58.40969005,-34.6505529,Moto-Cargas,Moto,Cargas,Conductor,Masculino,30,"La Boca, Barracas, Parque Patricios y Nueva Pompeya.",1,Martes,Tarde
2017-0013,1,2017-01-27,2017,1,27,2024-01-16 07:00:00,7,Iriarte 3055,Avenida,"Iriarte, Gral. Av.",No,"Iriarte, Gral. Av. 3055",4,Point (106744.80812193 97588.11558612),-58.38972622,-34.65098981,Peaton-Cargas,Peaton,Cargas,Peaton,Masculino,4,"La Boca, Barracas, Parque Patricios y Nueva Pompeya.",4,Viernes,Mañana
2017-0014,1,2017-01-28,2017,1,28,2024-01-16 08:27:34,8,Av. Donado Y Arias,Avenida,Donado,Si,Donado Y Arias,12,Point (97378.59173196 108741.41437861),-58.49185972,-34.55046754,Multiple,Moto,Multiple,Pasajero_Acompañante,Femenino,22,"Coghlan, Saavedra, Villa Urquiza y Villa Pueyrredón.",5,Sábado,Mañana
2017-0015,1,2017-02-02,2017,2,2,2024-01-16 15:18:03,15,Cordoba Av. Y Callao,Avenida,Cordoba Av.,Si,Cordoba Av. Y Callao Av.,2,Point (106454.66355436 103285.14730222),-58.39293417,-34.59963642,Peaton-Auto,Peaton,Auto,Peaton,Masculino,82,Recoleta.,3,Jueves,Tarde
2017-0016,1,2017-02-03,2017,2,3,2024-01-16 05:12:21,5,"Au 25 De Mayo, Kilometro 8.3, Sentido Hacia Provincia De Buenos Aires, C.A.B.A.",Autopista,Autopista 25 De Mayo,No,Autopista 25 De Mayo Km. 8.3,1,Point (107547.76713701 100705.57738660),-58.38099494,-34.62288231,Moto-Cargas,Moto,Cargas,Conductor,Masculino,27,"Retiro, San Nicolás, Puerto Madero, San Telmo, Montserrat y Constitución.",4,Viernes,Madrugada
2017-0017,1,2017-02-06,2017,2,6,2024-01-16 08:00:00,8,Av. Juan B Justo Y Paraguay,Avenida,"Justo, Juan B. Av.",Si,"Justo, Juan B. Av. Y Paraguay",14,Point (103145.91571023 105359.30690018),-58.429012,-34.58095431,Moto-Auto,Moto,Auto,Conductor,Masculino,32,Palermo.,0,Lunes,Mañana
2017-0018,1,2017-02-09,2017,2,9,2024-01-16 07:00:00,7,Av. Gral. Paz Y Av. De Los Corrales,Gral Paz,"Paz, Gral. Av.",Si,"Paz, Gral. Av. Y De Los Corrales Av.",9,Point (95832.05571093 95505.41641999),-58.50877521,-34.66977709,Moto-Auto,Moto,Auto,Conductor,Masculino,30,"Liniers, Mataderos y Parque Avellaneda.",3,Jueves,Mañana
2017-0021,1,2017-02-18,2017,2,18,2024-01-16 05:30:00,5,Sarmiento Y Libertad,Calle,Sarmiento,Si,Sarmiento Y Libertad,1,Point (107308.24054153 102678.45528316),-58.38362373,-34.60509972,Moto-Pasajeros,Moto,Pasajeros,Conductor,Masculino,43,"Retiro, San Nicolás, Puerto Madero, San Telmo, Montserrat y Constitución.",5,Sábado,Madrugada
2017-0024,1,2017-02-23,2017,2,23,2024-01-16 20:50:00,20,Av. Rivadavia 7121,Avenida,Rivadavia Av.,No,Rivadavia Av. 7121,7,Point (99762.20699423 99968.05446003),-58.46589308,-34.62955795,Peaton-Pasajeros,Peaton,Pasajeros,Peaton,Masculino,39,Flores y Parque Chacabuco.,3,Jueves,Noche
2017-0025,1,2017-02-24,2017,2,24,2024-01-16 17:05:00,17,Av. Fernandez De La Cruz Y Rivera Indarte,Avenida,"Fernandez De La Cruz, F., Gral. Av.",Si,"Fernandez De La Cruz, F., Gral. Av. Y Rivera Indarte Av.",7,Point (102489.38230491 97228.94942016),-58.43614426,-34.6542464,Moto-Sd,Moto,Sd,Conductor,Masculino,23,Flores y Parque Chacabuco.,4,Viernes,Tarde
2017-0026,2,2017-02-26,2017,2,26,2024-01-16 05:15:00,5,Av. Perito Moreno Y Fournier,Avenida,"Moreno, Perito Av.",Si,"Moreno, Perito Av. Y Fournier",4,Point (104113.67806500 97722.68219304),-58.41842777,-34.64979057,Otro-Auto,Auto,Objeto Fijo,Pasajero_Acompañante,Femenino,23,"La Boca, Barracas, Parque Patricios y Nueva Pompeya.",6,Domingo,Madrugada
2017-0026,2,2017-02-26,2017,2,26,2024-01-16 05:15:00,5,Av. Perito Moreno Y Fournier,Avenida,"Moreno, Perito Av.",Si,"Moreno, Perito Av. Y Fournier",4,Point (104113.67806500 97722.68219304),-58.41842777,-34.64979057,Otro-Auto,Auto,Objeto Fijo,Conductor,Masculino,19,"La Boca, Barracas, Parque Patricios y Nueva Pompeya.",6,Domingo,Madrugada
2017-0027,1,2017-02-26,2017,2,26,2024-01-16 21:57:00,21,Av. Caseros 1429,Avenida,Caseros Av.,No,Caseros Av. 1429,1,Point (107333.53318866 99701.77552382),-58.38332245,-34.6319325,Peaton-Auto,Peaton,Auto,Peaton,Masculino,40,"Retiro, San Nicolás, Puerto Madero, San Telmo, Montserrat y Constitución.",6,Domingo,Noche
2017-0028,1,2017-02-28,2017,2,28,2024-01-16 09:20:00,9,Av. Gaona Y Fragata Sarmiento,Avenida,Gaona Av.,Si,Gaona Av. Y Fragata Pres. Sarmiento,6,Point (100783.70757056 101919.87125456),-58.45475488,-34.61196327,Peaton-Auto,Peaton,Auto,Peaton,Masculino,87,Caballito.,1,Martes,Mañana
2017-0029,1,2017-03-07,2017,3,7,2024-01-16 02:15:00,2,Mozart Y Tandil,Calle,Mozart,Si,Mozart Y Tandil,9,Point (98009.35575364 97985.81952007),-58.48501341,-34.64742455,Sd-Auto,Sd,Auto,Conductor,Masculino,34,"Liniers, Mataderos y Parque Avellaneda.",1,Martes,Madrugada
2017-0030,1,2017-03-07,2017,3,7,2024-01-16 08:00:00,8,Mozart Y Colectora Av. Tte. Luis J Dellepiane,Avenida,Mozart,Si,Mozart Y Autopista Dellepiane Luis Tte. Gral.,9,Point (99375.77435905 96732.87189547),-58.47010988,-34.65872088,Auto-Pasajeros,Auto,Pasajeros,Conductor,Femenino,27,"Liniers, Mataderos y Parque Avellaneda.",1,Martes,Mañana
2017-0031,1,2017-03-11,2017,3,11,2024-01-16 01:30:00,1,24 De Noviembre Y Pavon,Calle,24 De Noviembre,Si,24 De Noviembre Y Pavon,3,Point (104889.75647602 100057.93817815),-58.4099756,-34.62873635,Otro-Auto,Auto,Objeto Fijo,Pasajero_Acompañante,Masculino,70,Balvanera y San Cristóbal.,5,Sábado,Madrugada
2017-0032,1,2017-03-12,2017,3,12,2024-01-16 05:00:00,5,Av. Gral. Paz Y Pedro De Mendoza,Gral Paz,"Paz, Gral. Av.",Si,"Paz, Gral. Av. Y Los Cedros",8,Point (97652.09135282 93973.55833508),-58.48892175,-34.68359163,Auto-Auto,Auto,Auto,Pasajero_Acompañante,Femenino,40,"Villa Soldati, Villa Riachuelo y Villa Lugano.",6,Domingo,Madrugada
2017-0033,1,2017-03-12,2017,3,12,2024-01-16 07:30:00,7,Av. Gral. Paz Km. 10,Gral Paz,"Paz, Gral. Av.",Si,"Paz, Gral. Av. Y Gutierrez, Ricardo",11,Point (94371.21426086 102884.21739121),-58.52466448,-34.60325478,Auto-Auto,Auto,Auto,Conductor,Masculino,28,"Villa General Mitre, Villa Devoto, Villa del Parque y Villa Santa Rita.",6,Domingo,Mañana
2017-0034,1,2017-03-13,2017,3,13,2024-01-16 07:50:00,7,Godoy Cruz 2651,Calle,Godoy Cruz,No,Godoy Cruz 2651,14,Point (103464.34360929 105543.78205193),-58.42554218,-34.57929036,Peaton-Auto,Peaton,Auto,Peaton,Masculino,43,Palermo.,0,Lunes,Mañana
2017-0035,3,2017-03-23,2017,3,23,2024-01-16 05:00:00,5,Av. Dr. Tristan Achaval Rodriguez Y Blvd. Azucena Villaflor,Avenida,"Achaval Rodriguez, T., Dr. Av.",Si,"Achaval Rodriguez, T., Dr. Av. Y Villaflor, Azucena",1,Point (109583.11620052 102006.72069921),-58.35881506,-34.61113641,Otro-Auto,Auto,Objeto Fijo,Conductor,Masculino,28,"Retiro, San Nicolás, Puerto Madero, San Telmo, Montserrat y Constitución.",3,Jueves,Madrugada
2017-0035,3,2017-03-23,2017,3,23,2024-01-16 05:00:00,5,Av. Dr. Tristan Achaval Rodriguez Y Blvd. Azucena Villaflor,Avenida,"Achaval Rodriguez, T., Dr. Av.",Si,"Achaval Rodriguez, T., Dr. Av. Y Villaflor, Azucena",1,Point (109583.11620052 102006.72069921),-58.35881506,-34.61113641,Otro-Auto,Auto,Objeto Fijo,Pasajero_Acompañante,Masculino,32,"Retiro, San Nicolás, Puerto Madero, San Telmo, Montserrat y Constitución.",3,Jueves,Madrugada
2017-0035,3,2017-03-23,2017,3,23,2024-01-16 05:00:00,5,Av. Dr. Tristan Achaval Rodriguez Y Blvd. Azucena Villaflor,Avenida,"Achaval Rodriguez, T., Dr. Av.",Si,"Achaval Rodriguez, T., Dr. Av. Y Villaflor, Azucena",1,Point (109583.11620052 102006.72069921),-58.35881506,-34.61113641,Otro-Auto,Auto,Objeto Fijo,Pasajero_Acompañante,Masculino,30,"Retiro, San Nicolás, Puerto Madero, San Telmo, Montserrat y Constitución.",3,Jueves,Madrugada
2017-0036,2,2017-03-29,2017,3,29,2024-01-16 18:00:00,18,Curupayti Y Colectora Av. Gral. Paz,Gral Paz,"Paz, Gral. Av.",Si,"Paz, Gral. Av. Y Campana",12,Point (95300.18060161 105287.23850698),-58.51452347,-34.58159762,Moto-Pasajeros,Moto,Pasajeros,Pasajero_Acompañante,Femenino,51,"Coghlan, Saavedra, Villa Urquiza y Villa Pueyrredón.",2,Miércoles,Noche
2017-0036,2,2017-03-29,2017,3,29,2024-01-16 18:00:00,18,Curupayti Y Colectora Av. Gral. Paz,Gral Paz,"Paz, Gral. Av.",Si,"Paz, Gral. Av. Y Campana",12,Point (95300.18060161 105287.23850698),-58.51452347,-34.58159762,Moto-Pasajeros,Moto,Pasajeros,Conductor,Masculino,20,"Coghlan, Saavedra, Villa Urquiza y Villa Pueyrredón.",2,Miércoles,Noche
2017-0037,1,2017-03-31,2017,3,31,2024-01-16 03:00:00,3,Av. Independencia Y Virrey Cevallos,Avenida,Independencia Av.,Si,"Independencia Av. Y Cevallos, Virrey",1,Point (106817.01972475 101248.18030272),-58.38896772,-34.61799615,Moto-Cargas,Moto,Cargas,Conductor,Masculino,41,"Retiro, San Nicolás, Puerto Madero, San Telmo, Montserrat y Constitución.",4,Viernes,Madrugada
2017-0038,1,2017-04-01,2017,4,1,2024-01-16 19:00:00,19,Av. Castañares Y Lautaro,Avenida,Casta?Ares Av.,Si,Castaã‘Ares Av. Y Lautaro,7,Point (101662.32423755 98406.44885071),-58.44516857,-34.64363363,Moto-Auto,Moto,Auto,Conductor,Femenino,40,Flores y Parque Chacabuco.,5,Sábado,Noche
2017-0040,1,2017-04-03,2017,4,3,2024-01-16 09:40:00,9,Camino Ciudad Unuversitaria Y Av. Tte. Guiraldes,Avenida,"Guiraldes, Int.",No,"Guiraldes, Int. 2699",13,Point (102290.82648731 109281.08885461),-58.43834197,-34.54560369,Multiple,Auto,Multiple,Conductor,Masculino,43,"Núñez, Belgrano y Colegiales.",0,Lunes,Mañana
2017-0041,1,2017-04-03,2017,4,3,2024-01-16 23:15:00,23,Baldomero Fernandez Moreno 2186,Calle,"Fernandez Moreno, Baldomero",No,"Fernandez Moreno, Baldomero 2186",7,Point (100774.70463767 99328.98632835),-58.45485084,-34.63531854,Moto-Auto,Moto,Auto,Conductor,Masculino,17,Flores y Parque Chacabuco.,0,Lunes,Noche
2017-0042,1,2017-04-10,2017,4,10,2024-01-16 09:00:00,9,Av. Leopoldo Lugones Pkm 6900,Gral Paz,"Lugones, Leopoldo Av.",No,"Lugones, Leopoldo Av.",14,Point (0 0),0.0,0.0,Moto-Cargas,Moto,Cargas,Conductor,Masculino,40,Palermo.,0,Lunes,Mañana
2017-0045,1,2017-04-14,2017,4,14,2024-01-16 06:15:00,6,Nogoya 5940,Calle,Nogoya,No,Nogoya 5940,10,Point (94388.40460408 100522.78812728),-58.52449285,-34.62454175,Moto-Objeto Fijo,Moto,Objeto Fijo,Conductor,Masculino,21,"Villa Real, Monte Castro, Versalles, Floresta, Vélez Sarsfield y Villa Luro.",4,Viernes,Mañana
2017-0047,1,2017-04-23,2017,4,23,2024-01-16 06:30:00,6,Av. Argentina Y Av. Corvalan,Avenida,Argentina Av.,Si,Argentina Av. Y Corvalan,8,Point (99648.31069819 95261.11808541),-58.46713742,-34.6719879,Moto-Auto,Moto,Auto,Conductor,Masculino,37,"Villa Soldati, Villa Riachuelo y Villa Lugano.",6,Domingo,Mañana
2017-0049,1,2017-04-27,2017,4,27,2024-01-16 18:16:00,18,Av. Fernandez De La Cruz Y Varela,Avenida,"Fernandez De La Cruz, F., Gral. Av.",Si,"Fernandez De La Cruz, F., Gral. Av. Y Varela Av.",8,Point (102273.01728657 97084.66236498),-58.43850413,-34.65554754,Peaton-Pasajeros,Peaton,Pasajeros,Peaton,Masculino,22,"Villa Soldati, Villa Riachuelo y Villa Lugano.",3,Jueves,Noche
2017-0050,2,2017-04-28,2017,4,28,2024-01-16 11:08:08,11,Au Perito Moreno Y Ramal Enlace Au1/Au6,Autopista,Autopista Perito Moreno,No,Au Perito Moreno Y Ramal Enlace Au1/Au6,9,Point (0 0),0.0,0.0,Moto-Cargas,Moto,Cargas,Conductor,Masculino,46,"Liniers, Mataderos y Parque Avellaneda.",4,Viernes,Mañana
2017-0050,2,2017-04-28,2017,4,28,2024-01-16 11:08:08,11,Au Perito Moreno Y Ramal Enlace Au1/Au6,Autopista,Autopista Perito Moreno,No,Au Perito Moreno Y Ramal Enlace Au1/Au6,9,Point (0 0),0.0,0.0,Moto-Cargas,Moto,Cargas,Pasajero_Acompañante,Masculino,16,"Liniers, Mataderos y Parque Avellaneda.",4,Viernes,Mañana
2017-0051,1,2017-05-01,2017,5,1,2024-01-16 03:47:47,3,Au Dellepiane 2400,Autopista,Autopista Dellepiane Luis Tte. Gral.,No,Au Dellepiane 2400,7,Point (0 0),0.0,0.0,Auto-Auto,Auto,Auto,Conductor,Masculino,33,Flores y Parque Chacabuco.,0,Lunes,Madrugada
2017-0052,1,2017-05-05,2017,5,5,2024-01-16 03:40:00,3,Av. Gral. Paz Y Goleta Julia,Gral Paz,"Paz, Gral. Av.",Si,"Paz, Gral. Av. Y Goleta Santa Cruz",8,Point (97173.99360188 94265.65054023),-58.49413799,-34.68095739,Peaton-Cargas,Peaton,Cargas,Peaton,Femenino,47,"Villa Soldati, Villa Riachuelo y Villa Lugano.",4,Viernes,Madrugada
2017-0053,1,2017-05-05,2017,5,5,2024-01-16 20:16:22,20,Vieytes Y Villarino,Calle,Vieytes,Si,Vieytes Y Villarino,4,Point (108050.74089604 97335.15201103),-58.37547846,-34.65326075,Moto-Cargas,Moto,Cargas,Conductor,Masculino,28,"La Boca, Barracas, Parque Patricios y Nueva Pompeya.",4,Viernes,Noche
2017-0054,1,2017-05-07,2017,5,7,2024-01-16 21:00:00,21,Av. De Los Constituyentes Y Pedro Moran,Avenida,De Los Constituyentes Av.,Si,"De Los Constituyentes Av. Y Moran, Pedro",15,Point (97843.76024114 104700.29820723),-58.48680218,-34.58689719,Moto-Auto,Moto,Auto,Pasajero_Acompañante,Femenino,20,"Chacarita, Villa Crespo, La Paternal, Villa Ortúzar, Agronomía y Parque Chas.",6,Domingo,Noche
2017-0055,1,2017-05-09,2017,5,9,2024-01-16 08:30:00,8,Av. De Los Constituyentes 4900,Avenida,De Los Constituyentes Av.,No,De Los Constituyentes Av. 4900,12,Point (97032.68537217 105507.05805581),-58.49563989,-34.57962262,Auto-Auto,Auto,Auto,Conductor,Masculino,32,"Coghlan, Saavedra, Villa Urquiza y Villa Pueyrredón.",1,Martes,Mañana
2017-0058,1,2017-05-09,2017,5,9,2024-01-16 23:10:00,23,Av. Cordoba Y Libertad,Avenida,Cordoba Av.,Si,Cordoba Av. Y Libertad,1,Point (107271.27725903 103337.46347012),-58.38403232,-34.5991594,Peaton-Moto,Peaton,Moto,Peaton,Masculino,80,"Retiro, San Nicolás, Puerto Madero, San Telmo, Montserrat y Constitución.",1,Martes,Noche
2017-0059,1,2017-05-11,2017,5,11,2024-01-16 09:24:00,9,Brasil Y Lima,Calle,Brasil,Si,Brasil Y Lima,1,Point (107433.79647713 100255.68319210),-58.38223382,-34.62693865,Peaton-Pasajeros,Peaton,Pasajeros,Peaton,Femenino,39,"Retiro, San Nicolás, Puerto Madero, San Telmo, Montserrat y Constitución.",3,Jueves,Mañana
2017-0060,1,2017-05-13,2017,5,13,2024-01-16 07:20:00,7,Av. Escalada Y Av. Fernandez De La Cruz,Avenida,Escalada Av.,Si,"Escalada Av. Y Fernandez De La Cruz, F., Gral. Av.",8,Point (100333.14201607 95123.00813458),-58.45966521,-34.67323292,Moto-Objeto Fijo,Moto,Objeto Fijo,Pasajero_Acompañante,Masculino,30,"Villa Soldati, Villa Riachuelo y Villa Lugano.",5,Sábado,Mañana
2017-0061,1,2017-05-15,2017,5,15,2024-01-16 13:29:30,13,Paraguay Y Av. Callao,Avenida,Paraguay,Si,Paraguay Y Callao Av.,2,Point (106445.10866138 103387.80115442),-58.39303911,-34.59871111,Peaton-Moto,Peaton,Moto,Peaton,Masculino,47,Recoleta.,0,Lunes,Tarde
2017-0062,1,2017-05-15,2017,5,15,2024-01-16 16:00:00,16,Av. Juan B Justo Y San Blas,Avenida,"Justo, Juan B. Av.",Si,"Justo, Juan B. Av. Y San Blas",10,Point (95477.60201436 99478.59069542),-58.51262106,-34.63395999,Moto-Cargas,Moto,Cargas,Conductor,Masculino,35,"Villa Real, Monte Castro, Versalles, Floresta, Vélez Sarsfield y Villa Luro.",0,Lunes,Tarde
2017-0063,1,2017-05-17,2017,5,17,2024-01-16 10:13:00,10,Chile Y Av. 9 De Julio,Avenida,Chile,Si,Chile Y 9 De Julio Av.,1,Point (107531.03549571 101417.11038758),-58.38118367,-34.61646839,Peaton-Pasajeros,Peaton,Pasajeros,Peaton,Femenino,79,"Retiro, San Nicolás, Puerto Madero, San Telmo, Montserrat y Constitución.",2,Miércoles,Mañana
2017-0064,1,2017-05-20,2017,5,20,2024-01-16 05:00:00,5,Maipu Y Peron,Calle,Maipu,Si,"Maipu Y Peron, Juan Domingo, Tte. General",1,Point (107958.58079244 102597.49225224),-58.37653284,-34.60582475,Cargas-Auto,Cargas,Auto,Pasajero_Acompañante,Masculino,61,"Retiro, San Nicolás, Puerto Madero, San Telmo, Montserrat y Constitución.",5,Sábado,Madrugada
2017-0065,1,2017-05-22,2017,5,22,2024-01-16 16:00:00,16,Av. Suarez Y Herrera,Avenida,Suarez Av.,Si,Suarez Av. Y Herrera,4,Point (107903.91828587 98767.43091425),-58.37709334,-34.64035082,Bicicleta-Cargas,Bicicleta,Cargas,Ciclista,Masculino,21,"La Boca, Barracas, Parque Patricios y Nueva Pompeya.",0,Lunes,Tarde
2017-0066,1,2017-05-22,2017,5,22,2024-01-16 18:10:00,18,Av. San Martin Y Fragata Sarmiento,Avenida,San Martin Av.,Si,San Martin Av. Y Fragata Pres. Sarmiento,15,Point (100300.69930045 102792.78597597),-58.46002142,-34.60409469,Peaton-Pasajeros,Peaton,Pasajeros,Peaton,Masculino,10,"Chacarita, Villa Crespo, La Paternal, Villa Ortúzar, Agronomía y Parque Chas.",0,Lunes,Noche
2017-0067,1,2017-05-23,2017,5,23,2024-01-16 02:45:00,2,Av. Directorio Y Av. Jose Maria Moreno,Avenida,Directorio Av.,Si,"Directorio Av. Y Moreno, Jose Maria Av.",6,Point (102703.30911569 100138.40769771),-58.4338197,-34.62801894,Moto-Cargas,Moto,Cargas,Conductor,Masculino,21,Caballito.,1,Martes,Madrugada
2017-0068,1,2017-05-27,2017,5,27,2024-01-16 19:50:00,19,Av. Tte. Francisco Rabanal 2950,Avenida,"Rabanal, Francisco, Intendente Av.",No,"Rabanal, Francisco, Intendente Av. 2950",8,Point (102520.03961549 96105.29592085),-58.43580656,-34.66437532,Moto-Objeto Fijo,Moto,Objeto Fijo,Conductor,Masculino,32,"Villa Soldati, Villa Riachuelo y Villa Lugano.",5,Sábado,Noche
2017-0069,1,2017-05-24,2017,5,24,2024-01-16 14:15:00,14,Av. Gral. Paz Y Ulrico Schmidl,Gral Paz,"Paz, Gral. Av.",Si,"Paz, Gral. Av. Y Schmidl, Ulrico",9,Point (94644.00300729 96592.22735507),-58.52173071,-34.65997463,Moto-Sd,Moto,Sd,Conductor,Masculino,39,"Liniers, Mataderos y Parque Avellaneda.",2,Miércoles,Tarde
2017-0070,1,2017-05-30,2017,5,30,2024-01-16 13:20:00,13,Nueva York  3696,Calle,Nueva York,No,Nueva York 3696,11,Point (95907.08722675 103463.22327776),-58.50791763,-34.59804273,Peaton-Auto,Peaton,Auto,Peaton,Masculino,80,"Villa General Mitre, Villa Devoto, Villa del Parque y Villa Santa Rita.",1,Martes,Tarde
2017-0072,1,2017-06-03,2017,6,3,2024-01-16 23:20:00,23,Av. De Los Constituyentes Y Vallejos,Avenida,De Los Constituyentes Av.,Si,De Los Constituyentes Av. Y Vallejos,12,Point (97389.59663507 105213.53381695),-58.49175088,-34.58226957,Auto-Auto,Auto,Auto,Conductor,Masculino,25,"Coghlan, Saavedra, Villa Urquiza y Villa Pueyrredón.",5,Sábado,Noche
2017-0073,1,2017-06-04,2017,6,4,2024-01-16 09:00:00,9,Av. Corrientes Y Ecuador,Avenida,Corrientes Av.,Si,Corrientes Av. Y Ecuador,3,Point (105089.38820014 102773.44772064),-58.40781467,-34.60425669,Moto-Auto,Moto,Auto,Conductor,Masculino,19,Balvanera y San Cristóbal.,6,Domingo,Mañana
2017-0074,1,2017-06-04,2017,6,4,2024-01-16 12:50:00,12,Casco 133,Calle,Casco,No,Casco 133,9,Point (94281.31244858 99043.29027489),-58.52567073,-34.63787791,Sd-Sd,Sd,Sd,Conductor,Masculino,70,"Liniers, Mataderos y Parque Avellaneda.",6,Domingo,Tarde
