Id,Número De Víctimas,Fecha,Año,Mes,Día,Hora,Cantidad Hora,Lugar Del Hecho,Tipo De Calle,Calle,Cruce,Dirección Normalizada,Comuna,Coordenadas XY (CABA),Pos X,Pos Y,Participantes,Víctima,Acusado,Rol,Sexo,Edad,Barrios,Código Día,Día Semana,Franja Horaria
2016-0020,1,2016-02-17,2016,2,17,2024-01-16 16:00:00,16,Suipacha 156,Calle,Suipacha,No,Suipacha 156,1,Point (107684.31807562 102519.17333314),-58.37952223,-34.60653282,Peaton-Auto,Peaton,Auto,Peaton,Masculino,59,"Retiro, San Nicolás, Puerto Madero, San Telmo, Montserrat y Constitución.",2,Miércoles,Tarde
2016-0021,1,2016-02-17,2016,2,17,2024-01-16 23:35:00,23,Av Directorio Y Curapaligue,Avenida,Directorio Av.,Si,Directorio Av. Y Curapaligue,7,Point (101074.94198885 99848.19369046),-58.45157703,-34.63063795,Auto-Auto,Auto,Auto,Conductor,Masculino,34,Flores y Parque Chacabuco.,2,Miércoles,Noche
2016-0022,1,2016-02-21,2016,2,21,2024-01-16 06:00:00,6,Av 9 De Julio Y Adolfo Alsina,Avenida,9 De Julio Av.,Si,"9 De Julio Av. Y Alsina, Adolfo",1,Point (107507.39502374 102046.08333077),-58.38144696,-34.61079875,Moto-Auto,Moto,Auto,Pasajero_Acompañante,Masculino,41,"Retiro, San Nicolás, Puerto Madero, San Telmo, Montserrat y Constitución.",6,Domingo,Mañana
2016-0025,1,2016-02-28,2016,2,28,2024-01-16 04:50:00,4,Av Gral Paz Y Av 27 De Febrero,Gral Paz,"Paz, Gral. Av.",Si,"Paz, Gral. Av. Y 27 De Febrero Av.",8,Point (100077.95205948 91571.23307293),-58.46244952,-34.70524971,Auto-Auto,Auto,Auto,Pasajero_Acompañante,Masculino,34,"Villa Soldati, Villa Riachuelo y Villa Lugano.",6,Domingo,Madrugada
2016-0026,1,2016-02-28,2016,2,28,2024-01-16 07:30:00,7,Holmberg Y Vedia,Calle,Holmberg,Si,Holmberg Y Vedia,12,Point (97350.75566590 109083.19420265),-58.49216191,-34.54738649,Otro-Auto,Auto,Objeto Fijo,Conductor,Masculino,30,"Coghlan, Saavedra, Villa Urquiza y Villa Pueyrredón.",6,Domingo,Mañana
2016-0027,1,2016-02-28,2016,2,28,2024-01-16 09:35:00,9,Curapaligue Y Avelino Diaz,Avenida,Curapaligue Av.,Si,"Curapaligue Av. Y Diaz, Avelino",7,Point (101679.82794245 98973.02976850),-58.44497874,-34.63852623,Auto-Auto,Auto,Auto,Pasajero_Acompañante,Masculino,34,Flores y Parque Chacabuco.,6,Domingo,Mañana
2016-0028,1,2016-03-02,2016,3,2,2024-01-16 10:00:00,10,Viamonte Y Av 9 De Julio,Avenida,Viamonte,Si,Viamonte Y 9 De Julio Av.,1,Point (107457.87314266 103212.28518029),-58.38199706,-34.60028648,Peaton-Cargas,Peaton,Cargas,Peaton,Masculino,50,"Retiro, San Nicolás, Puerto Madero, San Telmo, Montserrat y Constitución.",2,Miércoles,Mañana
2016-0029,1,2016-03-04,2016,3,4,2024-01-16 17:30:00,17,Av Cabildo Y Deheza,Avenida,Cabildo Av.,Si,Cabildo Av. Y Deheza,12,Point (99037.31284333 109733.12041651),-58.47378664,-34.54153077,Peaton-Pasajeros,Peaton,Pasajeros,Peaton,Masculino,38,"Coghlan, Saavedra, Villa Urquiza y Villa Pueyrredón.",4,Viernes,Tarde
2016-0031,1,2016-03-08,2016,3,8,2024-01-16 12:30:00,12,Av Gral Paz Y Av Cnel Roca,Gral Paz,"Paz, Gral. Av.",Si,"Paz, Gral. Av. Y Roca, Cnel. Av.",8,Point (99327.01838497 92326.91130631),-58.47064556,-34.69843756,Moto-Pasajeros,Moto,Pasajeros,Conductor,Masculino,21,"Villa Soldati, Villa Riachuelo y Villa Lugano.",1,Martes,Tarde
2016-0034,1,2016-03-12,2016,3,12,2024-01-16 12:30:00,12,Av Amancio Alcorta Y Bonavena,Avenida,"Alcorta, Amancio Av.",Si,"Alcorta, Amancio Av. Y Bonavena, Oscar Natalio",4,Point (105230.98315750 97613.97258373),-58.40623949,-34.65076549,Peaton-Pasajeros,Peaton,Pasajeros,Peaton,Masculino,52,"La Boca, Barracas, Parque Patricios y Nueva Pompeya.",5,Sábado,Tarde
2016-0035,1,2016-03-13,2016,3,13,2024-01-16 06:00:00,6,Av Corrientes Y Av Callao,Avenida,Corrientes Av.,Si,Corrientes Av. Y Callao Av.,3,Point (106513.41423248 102752.75354401),-58.39228965,-34.60443527,Moto-Pasajeros,Moto,Pasajeros,Conductor,Masculino,34,Balvanera y San Cristóbal.,6,Domingo,Mañana
